"Rider","Pro_year","Points_as_neopro","heuristic"
"latour pierre",2015,959,0.905357142857143
"lauscha georg",2008,0,0
"lawless chris",2018,563,0.45
"le bon johan",2011,98,0.5
"le floch guillaume",2009,76,0.25
"le gac olivier",2015,73,0.427777777777778
"le turnier mathias",2017,117,0.333333333333333
"lechuga pablo",2010,23,0.333333333333333
"lecroq jérémy",2018,90,0.744444444444444
"lecuisinier pierre-henri",2014,52,0.832010582010582
"ledanois kévin",2015,201,0.166666666666667
"leemreize gijs",2021,NA,1
"leezer tom",2008,482,0.866666666666667
"lemarchand romain",2011,49,0
"levarlet guillaume",2008,298,1
"lewis craig",2007,86,0
"leysen senne",2018,44,0.503472222222222
"lhotellerie clement",2007,408,0.666666666666667
"lietaer eliot",2012,113,0.1
"ligthart pim",2011,661,0.6
"linda antonin",2009,0,0.111111111111111
"lindeman bert-jan",2012,221,0.358333333333333
"lindgren johan",2007,11,0
"lisson christoffer",2020,NA,0
"lloyd matthew",2007,427,0.666666666666667
"lobato juan josé",2011,210,1
"locatelli paolo",2011,12,0.922222222222222
"locatelli stefano",2012,206,1.41666666666667
"lodewyck klaas",2009,277,0.473809523809524
"lombardi omar",2011,76,0.725
"lonardi giovanni",2019,232,0.483333333333333
"longo roberto",2007,40,0
"looij andré",2015,204,0
"lópez daniel",2018,120,0
"lópez jordi",2021,NA,0
"lópez miguel ángel",2015,950,0.25
"lowndes jason",2016,88,0
"lucciola fabrizio",2010,0,0.333333333333333
"ludvigsson fredrik",2015,42,0.825
"ludvigsson tobias",2012,367,0.352380952380952
"lund anders",2007,154,0.325396825396825
"lunke sindre",2016,96,0.791666666666667
"lutsenko alexey",2013,357,0.277777777777778
"macgregor ian",2007,5,0
"mäder gino",2019,165,0.567376373626374
"madouas valentin",2018,1014,0.375
"madrazo ángel",2009,35,0
"maes nikolas",2007,148,0.571428571428571
"magalhães jorge",2019,0,0
"magazzini enrico",2010,54,0.5
"mager christian",2015,42,0.3
"magner ty",2011,44,0.5
"maikin roman",2013,138,0
"maison jérémy",2016,67,1.35
"majka rafal",2011,286,0.633333333333333
"malacarne davide",2009,286,1
"malecki kamil",2015,0,0
"malori adriano",2011,381,0.5
"malucelli matteo",2017,274,0
"mamykin matvey",2016,251,0.166666666666667
"manakov victor",2012,48,1.21111111111111
"mancuso salvatore",2010,0,0.416666666666667
"mandri rené",2007,189,0.333333333333333
"manfredi andrea",2014,0,0.527777777777778
"manzin lorrenzo",2015,297,0.0833333333333333
"marchiori leonardo",2021,NA,0
"mareczko jakub",2015,898,0
"margaliot ran",2012,1,0
"margutti damiano",2010,0,0
"marini nicolas",2015,437,0.0625
"marit arne",2021,NA,0.816666666666667
"märkl niklas",2021,NA,0.15
"markus barry",2012,320,0.409722222222222
"maronese marco",2017,73,0
"martin dan",2008,785,1.03333333333333
"martin guillaume",2016,705,0.845833333333333
"martin tony",2008,1297,0.5
"martinelli davide",2016,215,0.538888888888889
"martinez carlos andres",2011,0,0
"martínez daniel felipe",2015,146,0
"martinez luis miguel",2016,0,0
"marycz jaroslaw",2010,124,0.635714285714286
"mas enric",2017,1177,0.333333333333333
"masnada fausto",2017,568,0.283333333333333
"matheou romain",2009,35,0
"mathis marco",2017,21,0.333333333333333
"matthews michael",2011,925,1.01388888888889
"matzka ralf",2013,178,0.1
"mazet julien",2007,71,1
"mazzucco fabio",2020,30,0.472294372294372
"mccarthy jay",2013,124,0.791666666666667
"mccormick hayden",2016,67,0.333333333333333
"mcevoy jonathan",2013,30,0.03125
"mclay daniel",2015,726,0.725
"mcnulty brandon",2018,452,1.43333333333333
"meersman gianni",2007,421,0.25
"meeus jordi",2021,NA,0.814285714285714
"meier christian",2009,129,0.125
"meijers jeroen",2017,350,0.25
"meijers jeroen",2017,350,0.25
"meintjes louis",2013,436,0.2
"mendes josé",2008,89,0
"menten milan",2018,307,0.333333333333333
"merino pedro",2010,37,0
"mertens julian",2020,6,0.514285714285714
"mertens tim",2009,26,0
"mertz rémy",2017,108,0.291666666666667
"meyer cameron",2009,162,0.791666666666667
"meyer travis",2010,86,0.5
"milán diego",2009,67,0.125
"milan jonathan",2021,NA,0.5
"minali riccardo",2017,501,0.316666666666667
"mínguez miguel",2010,62,0
"mitri james",2018,5,0
"modolo sacha",2010,876,0.844444444444444
"mohoric matej",2014,116,0.741071428571428
"molano juan sebastián",2015,63,0
"molard rudy",2012,129,0.428571428571429
"molenaar alex",2020,21,0.333333333333333
"mollema bauke",2008,211,0.5
"molly kenny",2019,47,0.375
"monaco alessandro",2020,NA,0.430555555555556
"moniquet sylvain",2021,NA,0.75
"monsalve yonathan",2011,307,0.595238095238095
"montaguti matteo",2008,118,0.25
"mora arturo",2011,33,0
"moreira mauricio",2018,121,0
"moreno francisco javier",2012,4,0
"moreno javier",2007,270,0
"morice julien",2015,61,0.5
"morin emmanuel",2019,166,0
"morizot florian",2009,47,0.0833333333333333
"mørkøv michael",2009,243,0.25
"mortier julien",2018,35,0.333333333333333
"morton lachlan",2013,127,0.833333333333333
"mosca jacopo",2017,403,0.283333333333333
"moschetti matteo",2019,344,0.571428571428571
"moscon gianni",2016,1187,1.12142857142857
"moser moreno",2012,1267,0.625
"mostov zeke",2018,0,0.216666666666667
"moyano enzo josué",2012,37,0
"mozzato luca",2020,129,0.442222222222222
"mühlberger gregor",2016,327,0.30952380952381
"mullen ryan",2016,311,0.598412698412698
"müller patrick",2018,212,0.757692307692308
"muñoz cristian camilo",2019,28,0.5
"muñoz daniel",2019,254,0
"munro casey",2007,0,0
"murguialday jokin",2021,NA,1
"murphy john",2007,31,0
"narváez jhonatan",2018,397,0
"natarov yuriy",2019,142,0.198412698412698
"navardauskas ramunas",2011,748,0.827777777777778
"neilands krists",2017,348,0.2
"neirynck stijn",2009,54,0.194444444444444
"nekrasov denis",2019,23,0
"nepomnyachshiy yevgeniy",2010,56,0.333333333333333
"nerz dominik",2010,206,0.458333333333333
"neves fernandes josé carlos prates",2019,110,0
"neyens maarten",2008,182,0.375
"nibali antonio",2015,14,0
"nieuwenhuis joris",2019,246,0.0666666666666667
"nishimura hiroki",2018,19,0
"nizzolo giacomo",2011,1153,1.25
"nolf frederiek",2008,14,0.383333333333333
"noppe christophe",2017,225,0.129166666666667
"norsgaard mathias",2019,99,0.65
"novak domen",2017,140,0.141666666666667
"novikov nikita",2012,53,1.13333333333333
"novikov savva",2021,NA,0
"nowak mateusz",2013,0,0
"nych artem",2015,73,0.0714285714285714
"o'brien mark",2007,0,0
"o'connor ben",2017,371,0
"ochoa diego antonio",2015,39,0
"offredo yoann",2008,264,0.125
"oien justin",2017,20,0.516666666666667
"oka atsushi",2020,NA,0
"oldani stefano",2020,78,0.239285714285714
"oliveira ivo",2018,23,0
"oliveira nelson",2010,244,0.333333333333333
"oliveira rui",2018,130,0
"olivier daan",2014,129,0.775
"oomen sam",2016,795,0.924404761904762
"oram james",2016,141,0.583333333333333
"ormenese caio godoy",2017,37,0
"orsini umberto",2018,14,0.25
"osorio alejandro",2019,37,0.333333333333333
"osorio juan felipe",2017,35,0
"oss daniel",2009,522,0.875
"osuna román",2012,15,0
"othman muhamad adiq husaine",2012,215,0
"ourselin paul",2017,60,0
"ovechkin artem",2010,226,0.25
"owen logan",2018,69,0.19375
"owsian lukasz",2013,89,0
"paasschens mathijs",2019,99,0.25
"pacher quentin",2016,316,0.125
"pachón oscar mauricio",2011,3,0
"pacinotti nicolò",2017,0,0.1
"pacioni luca",2016,92,0.25
"padour františek",2009,5,0.0833333333333333
"padun mark",2018,375,1.20555555555556
"pagani angelo",2011,145,1.61111111111111
"page dylan",2016,207,0.0833333333333333
"paiani jean-lou",2011,43,0.166666666666667
"pajur markus",2021,NA,0.5
"palini andrea",2013,244,0.25
"palini andrea",2013,244,0.25
"paluta michal",2015,34,0.0555555555555556
"pantano jarlinson",2012,128,0.666666666666667
"pantoja darwin ferney",2014,0,0
"paredes wilmar",2017,197,0
"paret-peintre aurélien",2019,457,0.525
"parra heiner rodrigo",2014,64,0.5
"parrinello antonino",2012,55,0.416666666666667
"pasche frank",2016,0,0
"pasqualon andrea",2011,104,0.5
"passeron aurélien",2007,144,0
"paterski maciej",2010,301,0.464285714285714
"pavarin marcello",2009,74,0.533333333333333
"pearson daniel",2017,137,0.393939393939394
"pedersen casper",2018,211,0.64
"pedersen mads",2015,275,0.793650793650794
"peeters kevin",2009,56,0
"pelikán jános",2020,4,0
"pellaud simon",2015,48,0.161111111111111
"pelucchi matteo",2011,281,0
"peñalver manuel",2019,51,0
"per david",2017,21,0.5025
"persson lucas",2008,47,0
"pessot alessandro",2019,22,0.166666666666667
"petelin jan",2020,NA,0
"peters alex",2016,57,0.25
"peters nans",2017,178,0.408333333333333
"peterson tom",2007,79,0.333333333333333
"petilli simone",2016,257,0.744444444444444
"petit adrien",2011,545,0.166666666666667
"phelan adam",2014,109,0.25
"philipsen jasper",2018,1060,0.825
"phinney taylor",2011,1215,1.48055555555556
"pibernik luka",2015,223,0.505952380952381
"piccolo andrea",2021,NA,0.660714285714286
"pidcock thomas",2021,NA,1.62083333333333
"piechele andrea",2010,160,0.583333333333333
"piemontesi fabrice",2007,32,0
"pineau cédric",2008,145,0
"pinot thibaut",2010,752,0.666666666666667
"pirazzi stefano",2010,115,0.1
"planckaert baptiste",2010,141,0.658333333333333
"planckaert edward",2017,281,0.2625
"planckaert emiel",2018,7,0.347857142857143
"pliu<U+0219>chin alexandr",2008,70,0.555555555555556
"poels wout",2009,229,0
"pogacar tadej",2019,3435,0.6125
"polanc jan",2014,405,0.683333333333333
"poli umberto",2017,17,0
"politt nils",2016,380,0.6
"poljanski pawel",2014,209,0.166666666666667
"pols ruben",2016,0,0.336111111111111
"pomoshnikov sergey",2013,92,0.125
"ponzi simone",2009,143,0.833333333333333
"pöstlberger lukas",2016,389,0.0555555555555556
"potgieter bradley",2013,5,0
"poulhiès stéphane",2007,116,0
"power robert",2016,155,1.27380952380952
"powless neilson",2018,392,0.761363636363636
"pozzo mattia",2013,19,0
"preidler georg",2012,261,0.333333333333333
"premont christophe",2013,25,0.125
"price-pejtersen johan",2020,4,0.166666666666667
"proch walter",2007,78,0.5
"puccio salvatore",2012,263,0.975
"putt tanner",2015,77,0.333333333333333
"quéméneur perrig",2008,45,0
"quinn sean",2019,10,1.2
"quintana nairo",2011,682,1
"quintero dúber",2013,34,0
"quirino rodrigo",2016,0,0
"rabottini matteo",2011,486,1.25
"raeymaekers thomas",2013,0,0
"raggio luca",2018,130,0.714285714285714
"räim mihkel",2017,562,0.1
"raimbekov bolat",2009,10,0
"rajovic dušan",2020,21,0
"ramirez brayan steven",2015,108,0
"ramirez carlos mario",2015,19,0
"rathe jacob",2012,64,0.361111111111111
"ratto daniele",2010,355,1.64166666666667
"ravasi edward",2017,222,0.844444444444444
"reguigui youcef",2013,84,0.458333333333333
"reichenbach sébastien",2013,569,0.333333333333333
"reig ruben",2008,3,0
"reimer martin",2009,307,0.625
"renev sergey",2009,66,0.25
"repa vojtech",2021,NA,1
"repinski tomasz",2010,0,0
"restrepo jhonatan",2016,346,0
"reus kai",2007,16,1.125
"reutter sven",2016,1,0.166666666666667
"revard thomas",2018,6,0
"rex laurenz",2021,NA,0
"reyes aldemar",2017,113,1
"reynders jens",2021,NA,0.111111111111111
"reza kévin",2011,34,0
"rhim brendan",2018,95,0.0666666666666667
"riabushenko alexandr",2018,355,0.741996336996337
"ricciardi alessio",2007,0,0
"rice michael",2018,19,0
"richeze mauro abel",2008,149,0
"rickaert jonas",2014,23,0.333333333333333
"rikunov petr",2019,30,0.0454545454545455
"riou alan",2019,18,0.0625
"rivera brandon smith",2020,19,0
"rivera kevin",2017,127,0
"rivi samuele",2021,NA,0.266666666666667
"robeet ludovic",2017,18,0
"robert fréderique",2011,145,0.373333333333333
"rochas rémy",2019,95,0.166666666666667
"rochas rémy",2019,95,0.166666666666667
"rodenberg frederik",2020,5,1.31111111111111
"rodriguez carlos",2020,11,0.3
"rodríguez cristián",2016,112,0
"rodríguez jackson",2008,559,0
"rodríguez jhon anderson",2017,5,0
"rodriguez michael",2012,12,1
"rodríguez óscar",2018,464,0
"roe timothy",2011,35,0.5
"roelandts jürgen",2008,1120,0.583333333333333
"roels dominik",2008,107,0.0666666666666667
"rolland pierre",2007,397,1
"romano francesco",2019,25,0.874603174603175
"romero jeffry",2011,86,0.125
"roosen timo",2015,217,0.285714285714286
"rosa diego",2013,258,0
"rosa massimo",2018,3,0.111111111111111
"rosón jaime",2016,187,0
"rossetto stéphane",2010,0,0.2
"rossi nazareno",2007,6,0
"rosskopf joey",2011,52,0
"rota lorenzo",2016,132,0.418055555555556
"rouiller loris",2019,0,0
"rousseau nicolas",2007,114,0
"roux anthony",2008,528,0.20952380952381
"rovny ivan",2007,138,0.5
"rowe luke",2012,296,0.783974358974359
"rowsell erick",2013,32,0.6
"rubio einer augusto",2020,50,0.714285714285714
"rudaskov sergei",2008,62,0.25
"ruffoni nicola",2014,228,0.25
"ruijgh rob",2010,379,0
"russo clément",2018,247,0
"rutsch jonas",2020,30,0.704761904761905
"rybalkin aleksey",2016,65,0.275
"sáez héctor",2016,33,0
"sagan juraj",2011,22,0.623333333333333
"sagan peter",2010,2474,0.922222222222222
"sagiv guy",2017,65,0
"saidov ulugbek",2019,4,0
"sajnok szymon",2018,388,0.0476190476190476
"salazar hugo sebastián",2011,0,0
"salomein jarl",2011,25,0.473333333333333
"samitier sergio",2018,82,0
"samoilau branislau",2007,260,0.214285714285714
"sanchez pelayo",2021,NA,0
"santofimio yors anderson",2016,0,0
"santoro antonio",2011,87,1.08333333333333
"sarabia ignacio",2007,95,0
"sarmiento cayetano josé",2010,102,1
"sarreau marc",2015,287,0.25
"savini daniel",2018,55,0.320833333333333
"savini filippo",2007,60,1
"savitskiy ivan",2012,20,1.16666666666667
"sbaragli kristian",2013,506,0.835555555555555
"scaroni cristian",2020,8,0.214285714285714
"schachmann maximilian",2017,957,0.741666666666667
"schär michael",2007,179,0.75
"schelling ide",2020,86,0.56031746031746
"schelling patrick",2013,21,1
"schets steve",2007,16,0
"schlegel michal",2017,120,0.392857142857143
"schmäh elias",2008,23,0
"schmid mauro",2021,NA,0.0416666666666667
"schmidt fabien",2013,100,0.166666666666667
"schnaidt fabian",2013,120,0.25
"schneiter joab",2021,NA,0.2
"schoffmann martin",2009,25,0
"schorn daniel",2008,32,0
"schreurs hamish",2017,0,0.333333333333333
"schultz jesper",2020,NA,0
"schultz nick",2017,206,0.25
"schwager sebastian",2007,61,0
"schwarzmann michael",2011,22,0
"scotson callum",2019,73,0.819047619047619
"scotson miles",2017,183,0.611111111111111
"seeldraeyers kevin",2007,208,0.75
"seigle romain",2018,184,1
"selander bjorn",2010,67,0
"selig rüdiger",2012,298,0.375
"sellier simon",2018,15,0.511111111111111
"selvaggi mirko",2008,48,0.5
"senac jean-charles",2008,99,1.13333333333333
"sénéchal florian",2014,376,0.775
"senni manuel",2015,115,0.758333333333333
"sepúlveda eduardo",2013,249,0.2
"sergent jesse",2011,580,0.5
"serrano gonzalo",2018,129,0
"serrano rafael",2008,5,0
"serry pieter",2011,350,0
"sessler nícolas",2018,13,0
"seubert timon",2011,92,0.25
"seynaeve lander",2015,10,0
"shalunov evgeny",2016,193,0.25
"shaw james",2017,50,0.383333333333333
"sheffield magnus",2021,NA,0.333333333333333
"sicard romain",2010,177,1.45
"sierra yecid",2017,92,0
"signego alessio",2007,32,0.5
"silin egor",2010,224,1.25
"silvestre fábio",2014,107,1.125
"simion paolo",2015,162,0.483333333333333
"simmons quinn",2020,193,0.880952380952381
"simón jordi",2012,58,0.75
"simon julien",2008,203,0
"sinkeldam ramon",2012,429,0.285714285714286
"sisr františek",2017,267,0
"sivakov pavel",2018,951,0.666666666666667
"six franklin",2018,26,0.285714285714286
"skjerping kristoffer",2015,101,0.325714285714286
"skvarka michal",2008,0,0
"sladkov evgeniy",2007,20,0
"slagter tom-jelte",2011,361,0.5
"slik ivar",2015,5,0.191666666666667
"smith dion",2016,546,0.1
"smukulis gatis",2009,55,0.504761904761905
"sokoll christoph",2008,19,0
"sokolov evgeny",2008,105,0.25
"sonnery blaise",2007,47,0.9
"sørensen chris anker",2007,1069,0.5
"sosa iván ramiro",2017,617,0
"soupe geoffrey",2011,210,0.5
"spengler lukas",2017,58,0.209722222222222
"špilak simon",2008,390,0.872222222222222
"spokes samuel",2015,26,0.268686868686869
"spreafico matteo",2017,104,0
"sprengers thomas",2013,149,0.04
"stacchiotti riccardo",2015,253,0.25
"stallaert joeri",2011,286,1.25
"stamsnijder tom",2007,324,0.7
"staniszewski daniel",2016,0,0
"stannard ian",2008,118,0.0666666666666667
"stannard robert",2019,325,0.771428571428571
"stash mamyr",2015,132,0
"stauff andreas",2010,165,0
"steels stijn",2013,67,0.25
"steensen andré",2008,16,0.438095238095238
"stepniak grzegorz",2013,72,0
"sterbini luca",2015,0,0
"sterbini simone",2015,50,0.180555555555556
"stetina peter",2007,28,0
"stevens timothy",2010,0,0
"stewart jake",2020,120,0.558080808080808
"stewart scott",2011,2,0
"stojnic veljko",2020,43,0.0666666666666667
"stokbro andreas",2019,95,0.35
"storer michael",2018,261,0.934523809523809
"stortoni simone",2009,151,1.86111111111111
"stosz patryk",2015,3,0
"strakhov dmitry",2019,68,0.1
"striska mindaugas",2008,0,0
"stroetinga wim",2009,146,0
"stüssi colin",2016,242,0.0714285714285714
"stuyven jasper",2014,360,0.536111111111111
"suarez camilo andres",2011,5,0
"sulzberger bernard",2007,62,0
"sulzberger wesley",2009,438,0.7
"summerhill daniel",2013,65,0.2
"sunderland dylan",2020,39,1
"suray gil",2007,46,0.416666666666667
"sureda jaume",2019,50,0
"suter joel",2020,36,0.2
"sütterlin jasha",2014,169,0.59984126984127
"sveshnikov kirill",2016,13,0.25
"sweeny harry",2021,NA,0.333333333333333
"swift ben",2009,487,1.08928571428571
"taaramäe rein",2008,640,0.305555555555556
"taborre fabio",2008,97,0.5
"talansky andrew",2011,902,0.6
"taliani alessio",2014,100,0.729166666666667
"taminiaux lionel",2019,348,0.242857142857143
"tatarinov gennadiy",2013,4,0.357539682539683
"tejada harold",2020,58,0
"teklehaimanot daniel",2012,239,0.111111111111111
"tenbrock jonas",2016,0,0.25
"terpstra niki",2007,411,0
"tesfatsion natnael",2021,NA,0.125
"testi nicola",2014,16,0.5
"teunissen mike",2015,336,0.958333333333333
"teuns dylan",2015,428,0.484126984126984
"tewelde jani",2013,11,0
"thalmann roland",2016,66,0.166666666666667
"theuns edward",2014,1150,0.791666666666667
"thevenot guillaume",2015,10,0.0625
"thire jonathan",2007,38,0
"thomas benjamin",2018,149,0
"thomas geraint",2007,68,0
"thurau björn",2008,80,0.166666666666667
"thwaites scott",2013,217,0
"tiller rasmus",2019,77,0.0714285714285714
"timmer albert",2007,107,0
"timmermans justin",2019,12,0
"toffali nicola",2016,137,0
"tolhoek antwan",2016,157,0
"tolleson taylor",2007,16,0
"tomei francesco",2007,19,0
"tomio giacomo",2016,0,0.25
"tonelli alessandro",2015,37,0.1
"tortelier etienne",2012,11,0.25
"touzé damien",2019,227,0.558333333333333
"trafelet stefan",2008,16,0.166666666666667
"trainini tomas",2021,NA,0.125
"tratnik jan",2011,9,0.125
"trentin matteo",2012,421,0.8
"trofimov yuri",2008,731,0
"troia oliviero",2017,105,0.485714285714286
"trosino mirko",2016,109,0.125
"tsatevich alexey",2012,427,0.667460317460317
"tulett ben",2020,42,0
"tulik angélo",2012,100,0.166666666666667
"turek daniel",2017,117,0
"turgis anthony",2015,555,0.416666666666667
"turgot sébastien",2008,342,1.16666666666667
"tusveld martijn",2017,162,0.445833333333333
"ulissi diego",2010,671,0.75
"urbano carmelo",2020,NA,0
"vacek karel",2019,4,0.797619047619048
"vacek mathias",2021,NA,0.142857142857143
"vahtra norman",2020,20,0
"vakoc petr",2014,471,0.825
"valgren michael",2014,590,0.655714285714286
"vallée boris",2014,327,0.19047619047619
"valls rafael",2010,303,0.5
"valognes quentin",2017,0,0
"valter attila",2020,233,0.65
"van aert wout",2017,1013,0.2
"van amerongen thijs",2009,0,0
"van asbroeck tom",2012,434,0
"van avermaet greg",2007,1714,0.678571428571429
"van baarle dylan",2014,579,1.04444444444444
"van den berg julius",2019,61,0.327380952380952
"van den berg lars",2021,NA,0.583333333333333
"van den bossche fabio",2020,17,0.166666666666667
"van den haute tom",2010,0,0
"van der haar lars",2015,31,0
"van der hoorn taco",2017,720,0
"van der lijke nick",2014,227,0.6
"van der poel mathieu",2019,2446,0.45
"van der sande tosh",2012,168,1.10595238095238
"van der tuuk danny",2021,NA,0
"van der velde ricardo",2009,43,0
"van elzakker wout",2021,NA,0
"van emden jos",2009,403,1.19047619047619
"van empel etienne",2015,21,0
"van garderen tejay",2010,990,0.864285714285714
"van gestel dries",2016,233,0.316666666666667
"van gils maxim",2021,NA,0.433333333333333
"van ginneken sjoerd",2015,81,0
"van goethem brian",2015,49,1
"van gompel mathias",2018,52,0.0857142857142857
"van hoecke gijs",2012,143,0.266666666666667
"van hooydonck nathan",2018,240,0.823463203463203
"van keirsbulck guillaume",2011,303,0.444444444444444
"van lerberghe bert",2015,362,0.651190476190476
"van meirhaeghe jef",2015,31,0.266666666666667
"van melsen kévin",2011,15,0
"van poppel boy",2011,248,0.08
"van poppel danny",2013,726,0.7
"van poucke aaron",2019,56,0.333333333333333
"van rooy kenneth",2016,13,0.45
"van schip jan-willem",2018,391,0
"van staeyen michael",2010,530,0
"van vooren steven",2010,98,0
"van wilder ilan",2020,26,0.813203463203463
"van winden dennis",2010,165,0.583333333333333
"van zandbeek ronan",2011,130,0.719047619047619
"van zyl johann",2013,24,0
"vanbilsen kenneth",2013,418,0.866666666666667
"vandenbergh stijn",2007,217,0
"vanderaerden michaël",2007,80,0.166666666666667
"vanderaerden michaël",2007,80,0.166666666666667
"vandewalle kristof",2008,56,0.333333333333333
"vandousselaere sven",2011,126,1.11428571428571
"vanendert dennis",2012,145,0
"vanendert jelle",2007,193,0.5
"vanherck pieter",2013,0,0
"vanhoof ward",2021,NA,0.816666666666667
"vanhoucke harm",2019,195,0.35
"vanmarcke sep",2010,458,1.0952380952381
"vanoverberghe arthur",2012,37,0.0666666666666667
"vansevenant mauri",2020,20,0.733333333333333
"vanspeybrouck pieter",2008,95,0.591666666666667
"vantomme maxime",2008,118,0.5
"veelers tom",2008,432,1.09722222222222
"veilleux david",2011,352,0.25
"velasco simone",2016,63,0.772222222222222
"velits martin",2008,263,0.1
"velits peter",2008,791,0.5
"vendrame andrea",2017,348,0.900793650793651
"venner quentin",2021,NA,0
"venter jaco",2011,35,0.1
"venturini clément",2014,155,0
"vergaerde otto",2014,1,0.25
"verhelst louis",2014,84,0.433333333333333
"vermaerke kevin",2019,80,0.916666666666667
"vermeersch florian",2020,185,0.25
"vermeltfoort coen",2011,19,0.632142857142857
"vermeulen alexey",2016,153,0.35
"vermote julien",2011,237,0.544047619047619
"vernaeckt thomas",2011,41,0
"verona carlos",2013,166,0.5
"verschaeve viktor",2021,NA,0.25
"vervaeke louis",2015,138,0.958333333333333
"vervloesem xandres",2021,NA,0.711309523809524
"verwilst aaron",2018,52,0.458333333333333
"vichot arthur",2010,483,0
"viejo josé daniel",2019,5,0
"viel mattia",2019,0,0
"viennet emilien",2013,25,0
"villa romain",2008,35,0.333333333333333
"villegas juan pablo",2011,16,0
"villella davide",2014,323,0.877272727272727
"vincent léo",2017,99,0.416666666666667
"vingegaard jonas",2019,419,0.2
"vinther troels rønning",2007,34,0.3125
"viviani elia",2011,1194,0.325
"vlasov aleksandr",2018,665,0.632683982683983
"vliegen loïc",2016,405,1.16130952380952
"vorobyev anton",2013,148,0.55
"voss paul",2009,258,0.333333333333333
"wackermann luca",2013,69,0.604166666666667
"wærenskjold søren",2021,NA,0.242857142857143
"wærsted syver",2020,13,0.0555555555555556
"waeytens zico",2012,115,0.2
"walker johnnie",2010,160,0.125
"walker william",2007,155,0.25
"wallays jelle",2011,205,0.347222222222222
"wallays jens",2015,0,0.142857142857143
"wallin rasmus bøgh",2019,19,0.666666666666667
"walscheid max",2016,384,0.75
"wandahl frederik",2021,NA,0.416666666666667
"warbasse larry",2013,101,0.447222222222222
"warlop jordi",2018,193,0.570833333333333
"warnier antoine",2017,64,0.361111111111111
"watson calvin",2014,46,0.430555555555556
"wauters willem",2013,37,0
"weemaes sasha",2019,86,0.2
"wellens tim",2013,888,0.783333333333333
"welten bram",2018,356,0.353968253968254
"whelan james",2019,67,0.5
"willems thimo",2019,18,0.0333333333333333
"williams stephen",2019,5,0.5
"williams tyler",2017,36,0.0476190476190476
"windsor dean",2007,4,0
"wippert wouter",2014,460,0.241666666666667
"wirtgen tom",2019,61,0.319444444444444
"wisniowski lukasz",2015,252,0.5
"wolf michael henry",2007,0,0
"wouters enzo",2017,39,0.336904761904762
"würtz schmidt mads",2017,304,0.7
"wyss danilo",2008,116,0.525
"wyss marcel",2009,187,0.725
"yamamoto genki",2015,44,0
"yates adam",2014,1292,0.142857142857143
"yates simon",2014,751,0.333333333333333
"yechezkel aviv",2017,8,0
"zabel rick",2014,213,0.439393939393939
"zaccanti filippo",2018,179,0.266666666666667
"zakarin aydar",2016,8,0
"zakarin ilnur",2013,456,1
"zampedri derik",2008,0,0.75
"zana filippo",2020,34,0.629166666666667
"zardini edoardo",2013,470,0.583333333333333
"zeits andrey",2008,80,0.75
"zen enrico",2009,68,1
"zepuntke ruben",2015,69,0.427777777777778
"zhurkin nikolay",2012,0,0
"zielinski kamil",2010,45,0.125
"zijlaard maikel",2018,4,0.575
"zilioli gianfranco",2014,234,1.16805555555556
"zingle romain",2010,211,0.485714285714286
"zitta pavel",2009,0,0
"zoccarato samuele",2021,NA,0.166666666666667
"zordan andrea",2014,5,0.6875
"zubov matvey",2012,1,0.145833333333333
"zukowsky nickolas",2020,NA,0
"zurlo federico",2015,125,0.333333333333333
