,rider_url,rider_name,nationality
0,arnaud-demare,DÉMARE Arnaud,FR
1,ben-swift,SWIFT Ben,GB
2,jurgen-roelandts,ROELANDTS Jürgen,BE
3,nacer-bouhanni,BOUHANNI Nacer,FR
4,greg-van-avermaet,VAN AVERMAET Greg,BE
5,alexander-kristoff,KRISTOFF Alexander,NO
6,heinrich-haussler,HAUSSLER Heinrich,AU
7,filippo-pozzato,POZZATO Filippo,IT
8,sonny-colbrelli,COLBRELLI Sonny,IT
9,matteo-trentin,TRENTIN Matteo,IT
10,luis-leon-sanchez,SÁNCHEZ Luis León,ES
11,peter-sagan,SAGAN Peter,SK
12,matteo-montaguti,MONTAGUTI Matteo,IT
13,tom-jelte-slagter,SLAGTER Tom-Jelte,NL
14,alejandro-valverde,VALVERDE Alejandro,ES
15,jan-bakelants,BAKELANTS Jan,BE
16,niccolo-bonifazio,BONIFAZIO Niccolò,IT
17,arthur-vichot,VICHOT Arthur,FR
18,simon-geschke,GESCHKE Simon,DE
19,francesco-gavazzi,GAVAZZI Francesco,IT
20,davide-rebellin,REBELLIN Davide,IT
21,andrea-fedi,FEDI Andrea,IT
22,paul-voss,VOß Paul,DE
23,sep-vanmarcke,VANMARCKE Sep,BE
24,lars-boom,BOOM Lars,NL
25,edvald-boasson-hagen,BOASSON HAGEN Edvald,NO
26,damiano-caruso,CARUSO Damiano,IT
27,dayer-quintana-rojas,QUINTANA Dayer,CO
28,enrico-battaglin,BATTAGLIN Enrico,IT
29,franco-pellizotti,PELLIZOTTI Franco,IT
30,fabian-cancellara,CANCELLARA Fabian,CH
31,jarlinson-pantano,PANTANO Jarlinson,CO
32,vincenzo-nibali,NIBALI Vincenzo,IT
33,tony-gallopin,GALLOPIN Tony,FR
34,jens-debusschere,DEBUSSCHERE Jens,BE
35,arnold-jeannesson,JEANNESSON Arnold,FR
36,jacopo-guarnieri,GUARNIERI Jacopo,IT
37,geoffrey-soupe,SOUPE Geoffrey,FR
38,vicente-reynes,REYNÉS Vicente,ES
39,michal-kwiatkowski,KWIATKOWSKI Michał,PL
40,ramunas-navardauskas,NAVARDAUSKAS Ramūnas,LT
41,giacomo-nizzolo,NIZZOLO Giacomo,IT
42,martin-elmiger,ELMIGER Martin,CH
43,koen-de-kort,DE KORT Koen,NL
44,giovanni-visconti,VISCONTI Giovanni,IT
45,andrey-amador,AMADOR Andrey,CR
46,leigh-howard,HOWARD Leigh,AU
47,aleksejs-saramotins,SARAMOTINS Aleksejs,LV
48,peter-kennaugh,KENNAUGH Peter,GB
49,paul-martens,MARTENS Paul,DE
50,fabio-felline,FELLINE Fabio,IT
51,davide-vigano,VIGANÒ Davide,IT
52,mirko-selvaggi,SELVAGGI Mirko,IT
53,michael-morkov,MØRKØV Michael,DK
54,tom-boonen,BOONEN Tom,BE
55,roman-kreuziger,KREUZIGER Roman,CZ
56,ian-stannard,STANNARD Ian,GB
57,diego-ulissi,ULISSI Diego,IT
58,michael-matthews,MATTHEWS Michael,AU
59,salvatore-puccio,PUCCIO Salvatore,IT
60,alessandro-de-marchi,DE MARCHI Alessandro,IT
61,dominik-nerz,NERZ Dominik,DE
62,anthony-roux,ROUX Anthony,FR
63,zico-waeytens,WAEYTENS Zico,BE
64,oscar-gatto,GATTO Oscar,IT
65,laurens-de-vreese,DE VREESE Laurens,BE
66,stijn-vandenbergh,VANDENBERGH Stijn,BE
67,ignatas-konovalovas,KONOVALOVAS Ignatas,LT
68,dylan-van-baarle,VAN BAARLE Dylan,NL
69,jan-barta,BÁRTA Jan,CZ
70,danilo-wyss,WYSS Danilo,CH
71,enrico-barbin,BARBIN Enrico,IT
72,simone-ponzi,PONZI Simone,IT
73,sven-erik-bystrom,BYSTRØM Sven Erik,NO
74,simon-spilak,ŠPILAK Simon,SI
75,angel-vicioso,VICIOSO Ángel,ES
76,stephen-cummings,CUMMINGS Steve,GB
77,fabio-sabatini,SABATINI Fabio,IT
78,fernando-gaviria,GAVIRIA Fernando,CO
79,gianluca-brambilla,BRAMBILLA Gianluca,IT
80,gatis-smukulis,SMUKULIS Gatis,LV
81,andrei-grivko,GRIVKO Andrey,UA
82,marco-frapporti,FRAPPORTI Marco,IT
83,elia-viviani,VIVIANI Elia,IT
84,christophe-laporte,LAPORTE Christophe,FR
85,matthieu-ladagnous,LADAGNOUS Matthieu,FR
86,christophe-riblon,RIBLON Christophe,FR
87,jelle-vanendert,VANENDERT Jelle,BE
88,marcus-burghardt,BURGHARDT Marcus,DE
89,patrick-konrad,KONRAD Patrick,AT
90,luke-rowe,ROWE Luke,GB
91,reinardt-janse-van-rensburg,JANSE VAN RENSBURG Reinardt,ZA
92,kevin-reza,REZA Kévin,FR
93,david-lozano,LOZANO David,ES
94,simon-yates,YATES Simon,GB
95,daniel-oss,OSS Daniel,IT
96,valerio-agnoli,AGNOLI Valerio,IT
97,kristijan-koren,KOREN Kristijan,SI
98,maarten-tjallingii,TJALLINGII Maarten,NL
99,matteo-tosatto,TOSATTO Matteo,IT
100,mirco-maestri,MAESTRI Mirco,IT
101,moreno-moser,MOSER Moreno,IT
102,simone-andreetta,ANDREETTA Simone,IT
103,sacha-modolo,MODOLO Sacha,IT
104,rudiger-selig,SELIG Rüdiger,DE
105,bartlomiej-matysiak,MATYSIAK Bartłomiej,PL
106,eros-capecchi,CAPECCHI Eros,IT
107,davide-cimolai,CIMOLAI Davide,IT
108,jaroslaw-marycz,MARYCZ Jarosław,PL
109,mark-cavendish,CAVENDISH Mark,GB
110,gregory-rast,RAST Grégory,CH
111,lorenzo-rota,ROTA Lorenzo,IT
112,winner-anacona,ANACONA Winner,CO
113,julien-simon,SIMON Julien,FR
114,luis-angel-mate,MATÉ Luis Ángel,ES
115,roger-kluge,KLUGE Roger,DE
116,adam-hansen,HANSEN Adam,AU
117,maciej-bodnar,BODNAR Maciej,PL
118,yaroslav-popovych,POPOVYCH Yaroslav,UA
119,roberto-ferrari,FERRARI Roberto,IT
120,hugo-houle,HOULE Hugo,CA
121,michael-albasini,ALBASINI Michael,CH
122,daniel-felipe-martinez,MARTÍNEZ Daniel Felipe,CO
123,roy-curvers,CURVERS Roy,NL
124,victor-de-la-parte,DE LA PARTE Víctor,ES
125,pim-ligthart,LIGTHART Pim,NL
126,marco-haller,HALLER Marco,AT
127,cesare-benedetti,BENEDETTI Cesare,IT
128,sam-bennett,BENNETT Sam,IE
129,bert-de-backer,DE BACKER Bert,BE
130,tom-stamsnijder,STAMSNIJDER Tom,NL
131,tom-van-asbroeck,VAN ASBROECK Tom,BE
132,jesse-sergent,SERGENT Jesse,NZ
133,fran-ventoso,VENTOSO Francisco José,ES
134,lars-ytting-bak,BAK Lars Ytting,DK
135,manuel-quinziato,QUINZIATO Manuel,IT
136,julen-amezqueta,AMEZQUETA Julen,ES
137,gregor-muhlberger,MÜHLBERGER Gregor,AT
138,mark-renshaw,RENSHAW Mark,AU
139,jean-pierre-drucker,DRUCKER Jempy,LU
140,francesco-chicchi,CHICCHI Francesco,IT
141,zdenek-stybar,ŠTYBAR Zdeněk,CZ
142,juan-jose-lobato,LOBATO Juan José,ES
143,manuele-boaro,BOARO Manuele,IT
144,marco-coledan,COLEDAN Marco,IT
145,mattia-cattaneo,CATTANEO Mattia,IT
146,matteo-bono,BONO Matteo,IT
147,manuel-belletti,BELLETTI Manuel,IT
148,mirko-tedeschi,TEDESCHI Mirko,IT
149,patrick-gretsch,GRETSCH Patrick,DE
150,joonas-henttala,HENTTALA Joonas,FI
151,alan-marangoni,MARANGONI Alan,IT
152,martijn-verschoor,VERSCHOOR Martijn,NL
153,christopher-williams,WILLIAMS Christopher,AU
154,serghei-tvetcov,ȚVETCOV Serghei,RO
155,gediminas-bagdonas,BAGDONAS Gediminas,LT
156,luka-mezgec,MEZGEC Luka,SI
157,charles-planet,PLANET Charles,FR
158,jens-keukeleire,KEUKELEIRE Jens,BE
159,kevin-de-mesmaeker,DE MESMAEKER Kevin,BE
160,reto-hollenstein,HOLLENSTEIN Reto,CH
161,jos-van-emden,VAN EMDEN Jos,NL
162,mickael-delage,DELAGE Mickaël,FR
163,tom-leezer,LEEZER Tom,NL
164,william-bonnet,BONNET William,FR
165,marcel-sieberg,SIEBERG Marcel,DE
166,daryl-impey,IMPEY Daryl,ZA
167,adam-blythe,BLYTHE Adam,GB
168,geraint-thomas,THOMAS Geraint,GB
169,adrian-honkisz,HONKISZ Adrian,PL
170,christopher-juul-jensen,JUUL-JENSEN Christopher,DK
171,sebastian-langeveld,LANGEVELD Sebastian,NL
172,adrian-kurek,KUREK Adrian,PL
173,jay-robert-thomson,THOMSON Jay Robert,ZA
174,eugenio-alafaci,ALAFACI Eugenio,IT
175,nikolay-mihaylov,MIHAYLOV Nikolay,BG
176,alessandro-tonelli,TONELLI Alessandro,IT
177,samuele-conti,CONTI Samuele,IT
178,jakub-mareczko,MARECZKO Jakub,IT
179,axel-domont,DOMONT Axel,FR
180,jerome-cousin,COUSIN Jérôme,FR
181,cyril-lemoine,LEMOINE Cyril,FR
182,sam-bewley,BEWLEY Sam,NZ
183,sergey-lagutin,LAGUTIN Sergey,RU
184,federico-zurlo,ZURLO Federico,IT
185,manuele-mori,MORI Manuele,IT
186,serge-pauwels,PAUWELS Serge,BE
187,nathan-haas,HAAS Nathan,AU
188,julien-vermote,VERMOTE Julien,BE
189,albert-timmer,TIMMER Albert,NL
190,nikias-arndt,ARNDT Nikias,DE
191,javier-megias,MEGÍAS Javier,ES
192,andrea-peron,PERON Andrea,IT
193,carlos-betancur,BETANCUR Carlos,CO
194,daniele-bennati,BENNATI Daniele,IT
195,giorgio-cecchinel,CECCHINEL Giorgio,IT
196,nicola-boem,BOEM Nicola,IT
197,stefano-pirazzi,PIRAZZI Stefano,IT
198,simon-clarke,CLARKE Simon,AU
199,moreno-hofland,HOFLAND Moreno,NL
2,viacheslav-kuznetsov,KUZNETSOV Viacheslav,RU
12,pieter-vanspeybrouck,VANSPEYBROUCK Pieter,BE
14,tiesj-benoot,BENOOT Tiesj,BE
16,pavel-brutt,BRUTT Pavel,RU
20,niki-terpstra,TERPSTRA Niki,NL
25,bryan-coquard,COQUARD Bryan,FR
26,berden-de-vries,DE VRIES Berden,NL
27,alexander-porsev,PORSEV Alexander,RU
32,taylor-phinney,PHINNEY Taylor,US
33,edward-theuns,THEUNS Edward,BE
34,michal-golas,GOŁAŚ Michał,PL
38,nikolas-maes,MAES Nikolas,BE
40,bert-van-lerberghe,VAN LERBERGHE Bert,BE
42,bram-tankink,TANKINK Bram,NL
43,amaury-capiot,CAPIOT Amaury,BE
44,yohann-gene,GÈNE Yohann,FR
47,jasha-sutterlin,SÜTTERLIN Jasha,DE
48,mitchell-docker,DOCKER Mitchell,AU
51,paolo-simion,SIMION Paolo,IT
52,michael-schar,SCHÄR Michael,CH
53,jesper-asselman,ASSELMAN Jesper,NL
54,roy-jans,JANS Roy,BE
56,murilo-antonio-fischer,FISCHER Murilo Antonio,BR
58,tomasz-kiendys,KIENDYŚ Tomasz,PL
59,marko-kump,KUMP Marko,SI
60,jasper-de-buyst,DE BUYST Jasper,BE
62,raymond-kreder,KREDER Raymond,NL
63,michael-van-staeyen,VAN STAEYEN Michael,BE
65,robert-wagner,WAGNER Robert,DE
67,mike-teunissen,TEUNISSEN Mike,NL
68,sebastien-turgot,TURGOT Sébastien,FR
69,guillaume-van-keirsbulck,VAN KEIRSBULCK Guillaume,BE
70,danny-van-poppel,VAN POPPEL Danny,NL
71,sylvain-chavanel,CHAVANEL Sylvain,FR
74,sander-helven,HELVEN Sander,BE
75,josef-cerny,ČERNÝ Josef,CZ
77,wesley-kreder,KREDER Wesley,NL
79,tyler-farrar,FARRAR Tyler,US
80,nick-dougall,DOUGALL Nic,ZA
81,simon-pellaud,PELLAUD Simon,CH
82,maxime-daniel,DANIEL Maxime,FR
83,quentin-jauregui,JAUREGUI Quentin,FR
84,nico-denz,DENZ Nico,DE
85,damien-gaudin,GAUDIN Damien,FR
87,rick-zabel,ZABEL Rick,DE
92,grzegorz-stepniak,STĘPNIAK Grzegorz,PL
93,michal-paluta,PALUTA Michał,PL
95,florian-senechal,SÉNÉCHAL Florian,FR
96,kenneth-van-bilsen,VANBILSEN Kenneth,BE
98,hugo-hofstetter,HOFSTETTER Hugo,FR
100,jonas-ahlstrand,AHLSTRAND Jonas,SE
101,julien-morice,MORICE Julien,FR
102,adrien-petit,PETIT Adrien,FR
103,romain-cardis,CARDIS Romain,FR
104,angelo-tulik,TULIK Angélo,FR
105,tony-hurel,HUREL Tony,FR
106,johan-le-bon,LE BON Johan,FR
107,olivier-le-gac,LE GAC Olivier,FR
110,yoann-offredo,OFFREDO Yoann,FR
111,svein-tuft,TUFT Svein,CA
112,luke-durbridge,DURBRIDGE Luke,AU
113,magnus-cort-nielsen,CORT Magnus,DK
119,luka-pibernik,PIBERNIK Luka,SI
120,gang-xu,XU Gang,CN
122,chun-kai-feng,FENG Chun Kai,TW
124,fumiyuki-beppu,BEPPU Fumiyuki,JP
126,mekseb-debesay,DEBESAY Mekseb,ER
128,matthew-brammeier,BRAMMEIER Matt,IE
133,soren-kragh-andersen,KRAGH ANDERSEN Søren,DK
134,ramon-sinkeldam,SINKELDAM Ramon,NL
136,dmitriy-gruzdev,GRUZDEV Dmitriy,KZ
138,lieuwe-westra,WESTRA Lieuwe,NL
139,arman-kamyshev,KAMYSHEV Arman,KZ
140,aleksey-lutsenko,LUTSENKO Alexey,KZ
143,christian-knees,KNEES Christian,DE
144,andrew-fenn,FENN Andrew,GB
146,jonas-rickaert,RICKAERT Jonas,BE
147,gijs-van-hoecke,VAN HOECKE Gijs,BE
148,jef-van-meirhaeghe,VAN MEIRHAEGHE Jef,BE
149,preben-van-hecke,VAN HECKE Preben,BE
150,antoine-demoitie,DEMOITIÉ Antoine,BE
151,danilo-napolitano,NAPOLITANO Danilo,IT
152,simone-antonini,ANTONINI Simone,IT
153,tom-devriendt,DEVRIENDT Tom,BE
154,kenny-dehaes,DEHAES Kenny,BE
155,marco-marcato,MARCATO Marco,IT
156,mark-mcnally,MCNALLY Mark,GB
158,oliver-naesen,NAESEN Oliver,BE
162,vegard-stake-laengen,LAENGEN Vegard Stake,NO
165,nelson-oliveira,OLIVEIRA Nelson,PT
166,antonio-pedrero,PEDRERO Antonio,ES
167,jorge-arcas,ARCAS Jorge,ES
169,frederik-frison,FRISON Frederik,BE
172,andre-greipel,GREIPEL André,DE
173,andre-looij,LOOIJ André,NL
174,barry-markus,MARKUS Barry,NL
175,ivar-slik,SLIK Ivar,NL
176,tim-kerkhof,KERKHOF Tim,NL
178,erik-baska,BAŠKA Erik,SK
179,michael-gogl,GOGL Michael,AT
180,michael-kolar,KOLÁŘ Michael,SK
183,luca-sterbini,STERBINI Luca,IT
185,nicola-ruffoni,RUFFONI Nicola,IT
188,matti-breschel,BRESCHEL Matti,DK
190,alberto-bettiol,BETTIOL Alberto,IT
192,patrick-bevin,BEVIN Patrick,NZ
193,wouter-wippert,WIPPERT Wouter,NL
194,jack-bauer,BAUER Jack,NZ
196,alexis-gougeard,GOUGEARD Alexis,FR
6,imanol-erviti,ERVITI Imanol,ES
8,dimitri-claeys,CLAEYS Dimitri,BE
19,scott-thwaites,THWAITES Scott,GB
24,jakob-fuglsang,FUGLSANG Jakob,DK
44,juraj-sagan,SAGAN Juraj,SK
46,sjoerd-van-ginneken,VAN GINNEKEN Sjoerd,NL
47,timo-roosen,ROOSEN Timo,NL
48,frederik-backaert,BACKAERT Frederik,BE
50,stijn-steels,STEELS Stijn,BE
51,antoine-duchesne,DUCHESNE Antoine,CA
54,toms-skujins,SKUJIŅŠ Toms,LV
57,zakkari-dempster,DEMPSTER Zak,AU
59,stefan-kung,KÜNG Stefan,CH
61,tim-declercq,DECLERCQ Tim,BE
65,alexandre-pichot,PICHOT Alexandre,FR
72,andreas-schillinger,SCHILLINGER Andreas,DE
76,gianni-moscon,MOSCON Gianni,IT
77,sebastien-minard,MINARD Sébastien,FR
79,markel-irizar,IRIZAR Markel,ES
82,bjorn-thurau,THURAU Björn,DE
88,nils-politt,POLITT Nils,DE
90,maarten-wynants,WYNANTS Maarten,BE
91,pieter-weening,WEENING Pieter,NL
93,stijn-devolder,DEVOLDER Stijn,BE
98,iljo-keisse,KEISSE Iljo,BE
108,ryan-anderson,ANDERSON Ryan,CA
111,tony-martin,MARTIN Tony,DE
114,michel-kreder,KREDER Michel,NL
117,jasper-stuyven,STUYVEN Jasper,BE
128,patryk-stosz,STOSZ Patryk,PL
131,andrea-dal-col,DAL COL Andrea,IT
132,mirko-trosino,TROSINO Mirko,IT
133,giuseppe-fonzi,FONZI Giuseppe,IT
134,matteo-draperi,DRAPERI Matteo,IT
136,enrique-sanz,SANZ Enrique,ES
138,marc-sarreau,SARREAU Marc,FR
142,jack-haig,HAIG Jack,AU
145,alexey-tsatevich,TSATEVICH Alexey,RU
155,bernhard-eisel,EISEL Bernhard,AT
168,shane-archbold,ARCHBOLD Shane,NZ
169,ralf-matzka,MATZKA Ralf,DE
170,michael-schwarzmann,SCHWARZMANN Michael,DE
171,lukas-postlberger,PÖSTLBERGER Lukas,AT
177,jerome-baugnies,BAUGNIES Jérôme,BE
178,kevin-van-melsen,VAN MELSEN Kévin,BE
181,dries-devenyns,DEVENYNS Dries,BE
188,jelle-wallays,WALLAYS Jelle,BE
189,kai-reus,REUS Kai,NL
194,nikolay-trusov,TRUSOV Nikolay,RU
195,kristoffer-skjerping,SKJERPING Kristoffer,NO
0,mathew-hayman,HAYMAN Mathew,AU
36,borut-bozic,BOŽIČ Borut,SI
59,jonas-van-genechten,VAN GENECHTEN Jonas,BE
63,benoit-jarrier,JARRIER Benoît,FR
74,francis-mourey,MOUREY Francis,FR
79,edvaldas-siskevicius,ŠIŠKEVIČIUS Evaldas,LT
80,christophe-laborie,LABORIE Christophe,FR
90,robin-stenuit,STENUIT Robin,BE
94,steven-tronet,TRONET Steven,FR
95,floris-gerts,GERTS Floris,NL
96,maxime-farazijn,FARAZIJN Maxime,BE
98,vegard-breen,BREEN Vegard,NO
102,ryan-mullen,MULLEN Ryan,IE
117,twan-castelijns,CASTELIJNS Twan,NL
122,matthias-brandle,BRÄNDLE Matthias,AT
127,franck-bonnamour,BONNAMOUR Franck,FR
128,yauheni-hutarovich,HUTAROVICH Yauheni,BY
129,daniel-mclay,MCLAY Daniel,GB
130,boris-vallee,VALLÉE Boris,BE
133,gert-joeaar,JÕEÄÄR Gert,EE
136,fabien-grellier,GRELLIER Fabien,FR
139,daniel-hoelgaard,HOELGAARD Daniel,NO
149,vladimir-isaychev,ISAYCHEV Vladimir,RU
153,mario-costa,COSTA Mário,PT
156,boy-van-poppel,VAN POPPEL Boy,NL
163,lars-van-der-haar,VAN DER HAAR Lars,NL
164,maxat-ayazbayev,AYAZBAYEV Maxat,KZ
182,javier-moreno,MORENO Javier,ES
191,phillip-gaimon,GAIMON Phillip,US
192,yannick-martinez,MARTINEZ Yannick,FR
193,mikel-aristi,ARISTI Mikel,ES
194,martin-laas,LAAS Martin,EE
195,romain-combaud,COMBAUD Romain,FR
196,fredrik-strand-galta,GALTA Fredrik Strand,NO
197,benjamin-giraud,GIRAUD Benjamin,FR
0,enrico-gasparotto,GASPAROTTO Enrico,IT
1,michael-valgren-andersen,VALGREN Michael,DK
5,julian-alaphilippe,ALAPHILIPPE Julian,FR
8,loic-vliegen,VLIEGEN Loïc,BE
9,tim-wellens,WELLENS Tim,BE
10,simon-gerrans,GERRANS Simon,AU
13,bauke-mollema,MOLLEMA Bauke,NL
14,warren-barguil,BARGUIL Warren,FR
15,maurits-lammertink,LAMMERTINK Maurits,NL
16,rui-costa,COSTA Rui,PT
17,dylan-teuns,TEUNS Dylan,BE
19,daniel-moreno,MORENO Daniel,ES
20,floris-de-tier,DE TIER Floris,BE
21,diego-rosa,ROSA Diego,IT
22,robert-gesink,GESINK Robert,NL
23,ion-izagirre,IZAGIRRE Ion,ES
26,samuel-sanchez,SÁNCHEZ Samuel,ES
27,sergio-luis-henao,HENAO Sergio,CO
28,lars-petter-nordhaug,NORDHAUG Lars Petter,NO
29,wilco-kelderman,KELDERMAN Wilco,NL
30,petr-vakoc,VAKOČ Petr,CZ
31,alex-howes,HOWES Alex,US
33,ben-hermans,HERMANS Ben,BE
35,giulio-ciccone,CICCONE Giulio,IT
37,georg-preidler,PREIDLER Georg,AT
40,wout-poels,POELS Wout,NL
42,bob-jungels,JUNGELS Bob,LU
43,lawrence-warbasse,WARBASSE Larry,US
49,cyril-gautier,GAUTIER Cyril,FR
51,sebastian-henao,HENAO Sebastián,CO
52,pieter-serry,SERRY Pieter,BE
58,bert-jan-lindeman,LINDEMAN Bert-Jan,NL
60,jaco-venter,VENTER Jaco,ZA
61,kristian-sbaragli,SBARAGLI Kristian,IT
65,huub-duijn,DUIJN Huub,NL
67,jan-polanc,POLANC Jan,SI
68,robert-kiserlovski,KIŠERLOVSKI Robert,HR
69,alberto-losada,LOSADA Alberto,ES
73,gorka-izagirre,IZAGIRRE Gorka,ES
80,philippe-gilbert,GILBERT Philippe,BE
81,sergei-chernetski,CHERNETSKI Sergei,RU
82,david-tanner,TANNER David,AU
84,tiago-machado,MACHADO Tiago,PT
85,silvan-dillier,DILLIER Silvan,CH
86,ben-gastauer,GASTAUER Ben,LU
87,gianni-meersman,MEERSMAN Gianni,BE
89,jurgen-van-den-broeck,VAN DEN BROECK Jurgen,BE
90,tom-dumoulin,DUMOULIN Tom,NL
91,tosh-van-der-sande,VAN DER SANDE Tosh,BE
93,benoit-vaugrenard,VAUGRENARD Benoît,FR
94,maciej-paterski,PATERSKI Maciej,PL
98,matej-mohoric,MOHORIČ Matej,SI
102,benjamin-king-1,KING Ben,US
105,lukasz-owsian,OWSIAN Łukasz,PL
106,antwan-tolhoek,TOLHOEK Antwan,NL
108,valerio-conti,CONTI Valerio,IT
